author_id,position,affiliation
81316488793,0,"National Taiwan University"
81321490410,0,"IBM Almaden Research Center"
81321490410,1,"MIT Computer Science and Artificial Intelligence Laboratory"
81321490410,2,"Massachusetts Institute of Technology"
81100237344,0,"University of Florida"
81548707556,0,"New Jersey Institute of Technology"
81100512614,0,"Institute of Computing Technology Chinese Academy of Sciences"
81100512614,1,"South China University of Technology"
81453620688,0,"Wright State University"
81372592181,0,IBM
81490670507,0,"National Taiwan University"
81100637390,0,"Johns Hopkins University"
81314494488,0,"University of Maine"
81100419711,0,"New Jersey Institute of Technology"
81100419711,1,"The College of New Jersey"
81100419711,2,"Kean University"
81472649892,0,"Zhejiang University"
81472649892,1,"Tongji University"
81100142789,0,"University of Florida"
81372590678,0,IBM
81100173160,0,"University of California, Berkeley"
81100173160,1,"Massachusetts Institute of Technology"
81100173160,2,"MIT Computer Science and Artificial Intelligence Laboratory"
81350589211,0,"National Taiwan University"
81490686963,0,"National Taiwan University"
82259008657,0,"University of Cambridge"
82259008657,1,"Qatar Computing Research institute"
81100406381,0,"Johns Hopkins University"
81314494435,0,"University of Maine"
81372592331,0,IBM
81100471562,0,"University of Florida"
81435594479,0,"Zhejiang University"
81100321728,0,"National Taiwan University"
83358650557,0,"King Abdulaziz City for Science and Technology"
81363598083,0,"University of Helsinki"
81363598083,1,"Universite de Caen Basse Normandie"
81100092270,0,"University of California, Berkeley"
81100092270,1,"Massachusetts Institute of Technology"
81100092270,2,"MIT Computer Science and Artificial Intelligence Laboratory"
81100092270,3,"Intel Corporation"
81100092270,4,"Intel Research Laboratories"
81100092270,5,"University of Maine"
81100387913,0,"Johns Hopkins University"
81314495250,0,"University of Maine"
81100454230,0,"Bar-Ilan University"
81100454230,1,"Rutgers University"
81100454230,2,"New Jersey Institute of Technology"
81100353006,0,"University of Florida"
81100320806,0,"National Tsing Hua University"
81474680163,0,"Peking University"
81409592765,0,"University of Iowa"
89758725857,0,"King Abdulaziz City for Science and Technology"
81100557538,0,"Carnegie Mellon University"
81100557538,1,"IBM Thomas J. Watson Research Center"
81100557538,2,"Harvard University"
81100557538,3,IBM
