dblp_key,year,publisher,title,doi,conf_id
conf/cikm/1992,1993,Springer,"Information and Knowledge Management, Expanding the Definition of Database, First International Conference, CIKM'92, Baltimore, Maryland, USA, November 8-11, 1992, Selected Papers",NULL,NULL
conf/cikm/1994w,1997,Springer,"Intelligent Hypertext: Advanced Techniques for the World Wide Web",NULL,NULL
conf/cikm/1996dart,1997,ACM,"Proceedings of the Workshop on Databases - Active and Real-Time, DART 1996, Rockville, Maryland, USA",http://doi.acm.org/10.1145/352302,352302
conf/cikm/2000,2000,ACM,"Proceedings of the 2000 ACM CIKM International Conference on Information and Knowledge Management, McLean, VA, USA, November 6-11, 2000",NULL,354756
conf/cikm/2001,2001,ACM,"Proceedings of the 2001 ACM CIKM International Conference on Information and Knowledge Management, Atlanta, Georgia, USA, November 5-10, 2001",NULL,502585
conf/cikm/2002,2002,ACM,"Proceedings of the 2002 ACM CIKM International Conference on Information and Knowledge Management, McLean, VA, USA, November 4-9, 2002",NULL,584792
conf/cikm/2003,2003,ACM,"Proceedings of the 2003 ACM CIKM International Conference on Information and Knowledge Management, New Orleans, Louisiana, USA, November 2-8, 2003",NULL,956863
conf/cikm/2004,2004,ACM,"Proceedings of the 2004 ACM CIKM International Conference on Information and Knowledge Management, Washington, DC, USA, November 8-13, 2004",NULL,1031171
conf/cikm/2005,2005,ACM,"Proceedings of the 2005 ACM CIKM International Conference on Information and Knowledge Management, Bremen, Germany, October 31 - November 5, 2005",NULL,1099554
conf/cikm/2005kras,2005,ACM,"Proceedings of the 2005 ACM Workshop on Research in Knowledge Representation for Autonomous Systems, KRAS 2005, Bremen, Germany, November 4, 2005, 2005",NULL,1096961
conf/cikm/2006,2006,ACM,"Proceedings of the 2006 ACM CIKM International Conference on Information and Knowledge Management, Arlington, Virginia, USA, November 6-11, 2006",NULL,1183614
conf/cikm/2007,2007,ACM,"Proceedings of the Sixteenth ACM Conference on Information and Knowledge Management, CIKM 2007, Lisbon, Portugal, November 6-10, 2007",NULL,1321440
conf/cikm/2007cims,2007,ACM,"Proceedings of the First Workshop on CyberInfrastructure: Information Management in eScience, CIMS 2007, Sixteenth ACM Conference on Information and Knowledge Management, CIKM 2007, Lisbon, Portugal, November 9, 2007",NULL,1317353
