conf_id,author_id,affiliation
2505515,84358620157,"LinkedIn, USA"
2505515,84358653957,"IBM T.J. Watson Research Center, USA"
238355,81100451003,"Univ. of Maryland, Baltimore County"
238355,81100120739,"The Center for Advanced Computer Studies, USL"
221270,81100451003,"Univ. of Maryland, Baltimore"
266714,81100501440,"Arizona State Univ., Tempe"
266714,81363594017,"Univ. of Southwestern Louisiana, Lafayette"
266714,81100451003,"Univ. of Maryland, Baltimore County, Camtonsville"
266714,81100120739,"Univ. of Southwestern Louisiana, Lafayette"
956863,81100154599,"Louisiana State University"
2396761,81548148656,"Wayne State University, USA"
2661829,99658653594,"Harbin Inst. of Technology"
2661829,99658653595,"Fudan University"
1458082,81350588454,"Church and Duncan Group Inc, USA"
502585,81100554739,"Georgia Institute of Technology"
1651263,81100222578,"Renmin University of China, China"
1645953,81100460281,"University of Hong Kong, Hong Kong"
1645953,81452601137,"Drexel University, USA"
1871902,81100320230,"Sybase iAnywhere, Canada"
1871902,81100188513,"Montclair State University, USA"
1183614,81350576309,"IBM T.J. Watson Research Center (USA)"
584792,81100451003,"University of Maryland Baltimore County"
352302,81100504743,-
1099554,81100422995,"University of Bremen, Germany"
1458572,81100507371,"Information Retrieval Facility, Austria"
288627,81100120739,"Univ. of Southwestern,Louisiana"
288627,81100451003,"Univ. of Maryland, Baltimore County"
288627,81339500103,"Univ. of Virginia"
288627,81408601622,"Univ. of Versailles SQ,/INRIA"
1031171,81100478086,"Illinois Institute of Technology"
1871437,81100080207,"York University, Canada"
1458484,81100122726,"University of Texas at Arlington, USA"
354756,81100089987,"Univ. of Kansas, Lawrence"
354756,81363594457,"Carnegie Mellon Univ., Pittsburgh, PA"
354756,81408601880,"Worcester Polytechnic Institute, Worcester, MA"
354756,81100606160,"Univ. of Kansas, Lawrence"
2513204,81100291422,"Microsoft Research, Redmond WA, USA"
2513204,81548005694,"Google, Mountain View, CA, USA"
2513204,81100034443,"University of Amsterdam, The Netherlands"
2513204,81502696743,"Gavagai Stockholm, Sweden"
1321440,81452616089,-
1321440,87259270957,"Universidade de Lisboa, Portugal"
1321440,81365592403,-
1321440,81100060665,"(Universidade de Lisboa, Portugal)"
1316874,81100188513,"Virginia State University, USA"
1316874,81100323054,"Simon Fraser University, Canada"
2065023,81321489845,"Universidad Autónoma de Madrid, Spain"
2065023,81388592955,"BrainSINS & Universidad Europea de Madrid, Spain"
2065023,81384620053,"BrainSINS & Universidad Europea de Madrid, Spain"
2065023,81100215254,"Universidad Politécnica de Valencia, Spain"
2065023,81319500678,"Johannes Kepler University, Austria"
2065023,81100506140,"Universidad de Sevilla, Spain"
1651274,81350583018,"University College London, UK"
1651274,81481642013,"University College London, UK"
2064058,81100472184,"Microsoft Research, UK"
2064058,81472656672,"Delft University of Technology, The Netherlands"
2064058,81100554547,"University of Pittsburgh, USA"
1651437,81100193887,"Chinese University of Hong Kong"
1651437,81350597955,"Tsinghua University"
1871854,81100472184,"Microsoft Research, UK"
1871854,81100554547,"University of Pittsburgh, USA"
2512089,81100418701,"Stanford University, USA"
2512089,81384594771,"KAIST, Korea"
2390021,81548203256,"Renmin University of China, China"
2512410,81100579629,"EMC India COE, India"
2512410,84358655757,"EMC India COE, India"
1651449,81309513526,"DAMA-UPC, Catalonia"
1651449,81339520206,"LAAS-CNRS, France"
1458412,81539471056,"Rutgers LAIR Laboratory, USA"
1458412,81100472184,"Microsoft Research, UK"
1458412,81100041550,"Microsoft Research, UK"
1458412,81100304210,"CSIRO, Australia"
1096961,81100393065,"National Institute of Standards and Technology, USA"
1096961,81100223279,"National Institute of Standards and Technology, USA"
2665970,81384594768,"KAIST, Korea"
2665970,81556455656,"Chinese Academy of Sciences, China"
2513577,81319496986,"IBM Research -- Almaden"
1651318,81384594768,"KAIST, Korea"
1651318,81100139116,"Stanford University, USA"
1458527,81100134378,"Kyoto University, Japan"
1458527,81100019389,"Kyoto University, Japan"
1458527,81100399142,"Singapore Management University, Singapore"
2663712,81100146530,"Microsoft, Mountain View CA, USA"
2663712,81100034443,"University of Amsterdam, The Netherlands"
2663712,81502696743,"Gavagai Stockholm, Sweden"
2064713,81100146530,"Microsoft, USA"
2064713,81100034443,"University of Amsterdam, The Netherlands"
2064713,81100013423,"Swedish Institute of Computer Science, Sweden"
2516588,81100222578,"Renmin University of China, China"
2516588,81548220856,"Emory University, USA"
1651309,81100250207,"Avaya Labs, USA"
1651309,81100581410,"POSTECH, Korea"
1651309,81100663944,"HKUST, China"
1871929,81100222578,"Renmin University of China, China"
1871929,81408598395,"IBM China Research Lab, China"
1030397,81100647822,"University of Wisconsin-Milwaukee, USA"
2361354,81336488659,"Telecom ParisTech, France"
1410140,81372593396,"Universidade de Sño Paulo, Brazil"
2034691,81100064703,"Adobe Systems, Inc., USA"
2494266,81548028570,"University of Florence, Italy"
585058,81100647822,"University of Wisconsin-Milwaukee, USA"
2682571,81100362298,"EPFL, Switzerland"
1860559,81100279224,"University of Salford, UK"
1096601,81321500044,"Hewlett Packard Laboratories, UK"
1166160,81452610374,"CWI, Netherlands"
958220,81100055287,"Université Pierre Mendès and INRIA Rhône-Alpes"
958220,81100647822,"University of Wisconsin-Milwaukee"
1284420,81310494007,"University of Manitoba, Winnipeg, Canada"
2644866,81100374933,"Hewlett-Packard, Fort Collins, USA"
1600193,81100419650,"Universität der Bundeswehr München, Germany"
502187,81100647822,-
2631775,81100281424,"University of Concepción, Chile"
2631775,81458652790,"University of La Plata, Argentina"
1557914,81375597766,"Institute for Scientific Interchange Foundation, Italy"
1557914,81100521826,"University of Torino, Italy"
1012807,81100051605,"University of California, Santa Cruz"
900051,81100486617,"University of Nottingham, UK"
900051,81100059966,"University of Nottingham, UK"
2309996,81100647822,"University of Wisconsin - Milwaukee, USA"
1810617,81100112821,"University of Toronto"
1286240,81100139139,"University of Manchester, UK"
504216,81100095276,"University of Aarhus, Denmark"
2700171,81100378126,"Middle East Technical University Northern Cyprus Campus"
74224,81100120278,-
168750,81100102525,-
317426,81332528115,"Univ. of North Carolina, Chapel Hill"
317426,81100332524,"Microelectronics and Computing Technology Corp., Austin, TX"
1149941,81100607357,"University of Southern Denmark"
