paper_id,doi,title,publication_year,publication_date,citation_count,referenced_works_count,referenced_works,related_works,author_ids,authors,institutions,source_id,source,language,type,is_open_access,fwci,updated_date,created_date
https://openalex.org/W4385245566,https://doi.org/10.4230/lipics.itp.2023.19,Exploiting Generative AI to Scale up Intelligent Tutoring Systems,2023,2023-01-01,77312,0,,https://openalex.org/W2099607809;https://openalex.org/W2395641992;https://openalex.org/W2807475932;https://openalex.org/W3021126373;https://openalex.org/W4280571180;https://openalex.org/W3066373881;https://openalex.org/W2426188458;https://openalex.org/W2903057408;https://openalex.org/W92588874;https://openalex.org/W2963991316,,"Jakubův, Jan;Chvalovský, Karel;Goertzel, Zarathustra;Kaliszyk, Cezary;Olšák, Mirek;Piotrowski, Bartosz;Schulz, Stephan;Suda, Martin;Urban, Josef",Baden-Wuerttemberg Cooperative State University;Czech Technical University in Prague;Food Research Institute Prague;Institut des Hautes Études Scientifiques;Universität Innsbruck,https://openalex.org/S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),en,article,True,7269.4369,2026-08-06T08:24:18.245995,2023-07-26T00:00:00
https://openalex.org/W2896457183,https://doi.org/10.4230/lipics.cosit.2022.18,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,2018,2018-10-11,45822,55,https://openalex.org/W131533222;https://openalex.org/W1486649854;https://openalex.org/W1599016936;https://openalex.org/W1840435438;https://openalex.org/W2025768430;https://openalex.org/W2108598243;https://openalex.org/W2117130368;https://openalex.org/W2121227244;https://openalex.org/W2130158090;https://openalex.org/W2130903752;https://openalex.org/W2131462252;https://openalex.org/W2131744502;https://openalex.org/W2144578941;https://openalex.org/W2149933564;https://openalex.org/W2153579005;https://openalex.org/W2158108973;https://openalex.org/W2158139315;https://openalex.org/W2170973209;https://openalex.org/W2250539671;https://openalex.org/W2251939518;https://openalex.org/W2270070752;https://openalex.org/W2396767181;https://openalex.org/W2413794162;https://openalex.org/W2462831000;https://openalex.org/W2507974895;https://openalex.org/W2525778437;https://openalex.org/W2551396370;https://openalex.org/W2610858497;https://openalex.org/W2784823820;https://openalex.org/W2806120502;https://openalex.org/W2880875857;https://openalex.org/W2886490473;https://openalex.org/W2888329843;https://openalex.org/W2891602716;https://openalex.org/W2897076808;https://openalex.org/W2949433733;https://openalex.org/W2951714314;https://openalex.org/W2962718483;https://openalex.org/W2962739339;https://openalex.org/W2962808855;https://openalex.org/W2963026768;https://openalex.org/W2963159690;https://openalex.org/W2963310665;https://openalex.org/W2963339397;https://openalex.org/W2963403868;https://openalex.org/W2963563735;https://openalex.org/W2963564796;https://openalex.org/W2963644595;https://openalex.org/W2963748441;https://openalex.org/W2963756346;https://openalex.org/W2963804993;https://openalex.org/W2963846996;https://openalex.org/W2963918774;https://openalex.org/W3098057198;https://openalex.org/W3104033643,https://openalex.org/W4391375266;https://openalex.org/W2748952813;https://openalex.org/W230091440;https://openalex.org/W2390279801;https://openalex.org/W2233261550;https://openalex.org/W2358668433;https://openalex.org/W2810751659;https://openalex.org/W258997015;https://openalex.org/W2376932109;https://openalex.org/W2001405890,,"Kefallinos, Dionysios;Alexandris, Georgios;Maras, Alexis;Chaidos, Panagiotis;Gomony, Manil Dev;Corporaal, Henk;Soudris, Dimitrios;Xydis, Sotirios",Eindhoven University of Technology;Google (United States);National Technical University of Athens,https://openalex.org/S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),en,article,True,2474.186,2026-08-06T08:24:18.245995,2018-10-26T00:00:00
https://openalex.org/W2250539671,https://doi.org/10.3115/v1/d14-1162,Glove: Global Vectors for Word Representation,2014,2014-01-01,33924,28,https://openalex.org/W1495550473;https://openalex.org/W1499253590;https://openalex.org/W1614298861;https://openalex.org/W1978400666;https://openalex.org/W1981617416;https://openalex.org/W2067438047;https://openalex.org/W2072128103;https://openalex.org/W2077428231;https://openalex.org/W2080100102;https://openalex.org/W2097732278;https://openalex.org/W2103318667;https://openalex.org/W2117130368;https://openalex.org/W2118020653;https://openalex.org/W2133280805;https://openalex.org/W2141599568;https://openalex.org/W2144578941;https://openalex.org/W2146502635;https://openalex.org/W2147152072;https://openalex.org/W2153579005;https://openalex.org/W2155169782;https://openalex.org/W2158139315;https://openalex.org/W2158899491;https://openalex.org/W2164019165;https://openalex.org/W2167510172;https://openalex.org/W2250189634;https://openalex.org/W2251012068;https://openalex.org/W2251803266;https://openalex.org/W4285719527,https://openalex.org/W2062195135;https://openalex.org/W1569283511;https://openalex.org/W2795079307;https://openalex.org/W2793058541;https://openalex.org/W4236193183;https://openalex.org/W2053866214;https://openalex.org/W2607505004;https://openalex.org/W3118638206;https://openalex.org/W2231795205;https://openalex.org/W2970166416,https://openalex.org/A5010225522;https://openalex.org/A5059955534;https://openalex.org/A5046006076,Jeffrey Pennington;Richard Socher;Christopher D. Manning,Stanford University,,,en,conference-paper,False,574.1102,2026-08-06T08:24:18.245995,2025-10-10T00:00:00
https://openalex.org/W2963341956,https://doi.org/10.18653/v1/n19-1423,,2019,2019-01-01,33064,52,https://openalex.org/W131533222;https://openalex.org/W1486649854;https://openalex.org/W1566289585;https://openalex.org/W1599016936;https://openalex.org/W1840435438;https://openalex.org/W2025768430;https://openalex.org/W2108598243;https://openalex.org/W2117130368;https://openalex.org/W2121227244;https://openalex.org/W2130903752;https://openalex.org/W2131462252;https://openalex.org/W2131744502;https://openalex.org/W2144578941;https://openalex.org/W2149933564;https://openalex.org/W2153579005;https://openalex.org/W2158108973;https://openalex.org/W2158139315;https://openalex.org/W2170973209;https://openalex.org/W2250539671;https://openalex.org/W2251939518;https://openalex.org/W2270070752;https://openalex.org/W2396767181;https://openalex.org/W2413794162;https://openalex.org/W2462831000;https://openalex.org/W2507974895;https://openalex.org/W2551396370;https://openalex.org/W2610858497;https://openalex.org/W2784823820;https://openalex.org/W2880875857;https://openalex.org/W2888329843;https://openalex.org/W2891602716;https://openalex.org/W2897076808;https://openalex.org/W2951714314;https://openalex.org/W2962718483;https://openalex.org/W2962739339;https://openalex.org/W2962808855;https://openalex.org/W2963026768;https://openalex.org/W2963088785;https://openalex.org/W2963159690;https://openalex.org/W2963339397;https://openalex.org/W2963403868;https://openalex.org/W2963563735;https://openalex.org/W2963564796;https://openalex.org/W2963644595;https://openalex.org/W2963748441;https://openalex.org/W2963756346;https://openalex.org/W2963804993;https://openalex.org/W2963846996;https://openalex.org/W2963918774;https://openalex.org/W2978670439;https://openalex.org/W3098057198;https://openalex.org/W3104033643,https://openalex.org/W1248106622;https://openalex.org/W2184062094;https://openalex.org/W4253963317;https://openalex.org/W1614506583;https://openalex.org/W2018451868;https://openalex.org/W2960118423;https://openalex.org/W2626427369;https://openalex.org/W2050562287;https://openalex.org/W639578494;https://openalex.org/W2999524681,https://openalex.org/A5057457287;https://openalex.org/A5076904467;https://openalex.org/A5081862885;https://openalex.org/A5053947885,Jacob Devlin;Ming‐Wei Chang;Kenton Lee;Kristina Toutanova,,,,,conference-paper,True,2697.2663,2026-08-06T08:24:18.245995,2019-07-30T00:00:00
https://openalex.org/W1880262756,https://doi.org/10.5555/944919.944937,Latent dirichlet allocation,2003,2003-03-01,27069,28,https://openalex.org/W15201044;https://openalex.org/W41216786;https://openalex.org/W125892352;https://openalex.org/W190008395;https://openalex.org/W202303397;https://openalex.org/W1508165687;https://openalex.org/W1516111018;https://openalex.org/W1746680969;https://openalex.org/W1956559956;https://openalex.org/W1967465043;https://openalex.org/W1983249544;https://openalex.org/W1983607152;https://openalex.org/W2020842694;https://openalex.org/W2026065824;https://openalex.org/W2045656233;https://openalex.org/W2063392856;https://openalex.org/W2097089247;https://openalex.org/W2097129520;https://openalex.org/W2104924585;https://openalex.org/W2107743791;https://openalex.org/W2126163471;https://openalex.org/W2127042504;https://openalex.org/W2134115626;https://openalex.org/W2147152072;https://openalex.org/W2158866759;https://openalex.org/W2168016523;https://openalex.org/W2172085063;https://openalex.org/W2801179766,https://openalex.org/W2950577311;https://openalex.org/W2250539671;https://openalex.org/W2174706414;https://openalex.org/W2171343266;https://openalex.org/W2165599843;https://openalex.org/W2159426623;https://openalex.org/W2158266063;https://openalex.org/W2153579005;https://openalex.org/W2147152072;https://openalex.org/W2140124448;https://openalex.org/W2134731454;https://openalex.org/W2107743791;https://openalex.org/W2098062695;https://openalex.org/W2072644219;https://openalex.org/W2049633694;https://openalex.org/W2001082470;https://openalex.org/W1969486090;https://openalex.org/W168564468;https://openalex.org/W1612003148;https://openalex.org/W1532325895,https://openalex.org/A5070920982;https://openalex.org/A5112456378;https://openalex.org/A5049812527,David M. Blei;Andrew Y. Ng;Michael I. Jordan,"Stanford University;University of California, Berkeley",https://openalex.org/S118988714,Journal of Machine Learning Research,en,article,False,151.7295,2026-08-06T08:24:18.245995,2025-10-10T00:00:00
https://openalex.org/W2157331557,https://doi.org/10.3115/v1/d14-1179,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation,2014,2014-01-01,24773,31,https://openalex.org/W6908809;https://openalex.org/W22168010;https://openalex.org/W932413789;https://openalex.org/W1490600648;https://openalex.org/W1606347560;https://openalex.org/W1675954498;https://openalex.org/W1753482797;https://openalex.org/W1905522558;https://openalex.org/W1970689298;https://openalex.org/W2064675550;https://openalex.org/W2103305545;https://openalex.org/W2108563286;https://openalex.org/W2117278770;https://openalex.org/W2118090838;https://openalex.org/W2144499799;https://openalex.org/W2147768505;https://openalex.org/W2153579005;https://openalex.org/W2153653739;https://openalex.org/W2156387975;https://openalex.org/W2161792612;https://openalex.org/W2163605009;https://openalex.org/W2250489405;https://openalex.org/W2251098065;https://openalex.org/W2251222643;https://openalex.org/W2251682575;https://openalex.org/W2398269847;https://openalex.org/W2950682695;https://openalex.org/W2963504252;https://openalex.org/W2964335273;https://openalex.org/W3037950864;https://openalex.org/W4285719527,https://openalex.org/W2039546652;https://openalex.org/W3011059803;https://openalex.org/W2012262991;https://openalex.org/W2373794620;https://openalex.org/W2384400852;https://openalex.org/W2963259630;https://openalex.org/W2070920720;https://openalex.org/W2398549619;https://openalex.org/W1542743110;https://openalex.org/W2883671469,https://openalex.org/A5030087918;https://openalex.org/A5057127344;https://openalex.org/A5041145688;https://openalex.org/A5010465328;https://openalex.org/A5079465565;https://openalex.org/A5015857371;https://openalex.org/A5086198262,Kyunghyun Cho;Bart van Merriënboer;Çağlar Gülçehre;Dzmitry Bahdanau;Fethi Bougares;Holger Schwenk;Yoshua Bengio,Alcatel Lucent (Germany);Polytechnique Montréal;University of Maine School of Law,,,en,conference-paper,True,286.2278,2026-08-06T08:24:18.245995,2025-10-10T00:00:00
https://openalex.org/W2965373594,https://doi.org/10.4230/lipics.cp.2025.31,"HISTORIAE, History of Socio-Cultural Transformation as Linguistic Data Science. A Humanities Use Case",2019,2019-07-26,17393,45,https://openalex.org/W131533222;https://openalex.org/W1566289585;https://openalex.org/W1599016936;https://openalex.org/W1840435438;https://openalex.org/W2130158090;https://openalex.org/W2170973209;https://openalex.org/W2251939518;https://openalex.org/W2396767181;https://openalex.org/W2462831000;https://openalex.org/W2525127255;https://openalex.org/W2784121710;https://openalex.org/W2793353489;https://openalex.org/W2805206884;https://openalex.org/W2899663614;https://openalex.org/W2899771611;https://openalex.org/W2914120296;https://openalex.org/W2914526845;https://openalex.org/W2920812691;https://openalex.org/W2930786691;https://openalex.org/W2933138175;https://openalex.org/W2937297214;https://openalex.org/W2938830017;https://openalex.org/W2944815030;https://openalex.org/W2945260553;https://openalex.org/W2945290257;https://openalex.org/W2945785363;https://openalex.org/W2947813521;https://openalex.org/W2948629866;https://openalex.org/W2950501607;https://openalex.org/W2962753370;https://openalex.org/W2962784628;https://openalex.org/W2963026768;https://openalex.org/W2963112338;https://openalex.org/W2963310665;https://openalex.org/W2963323070;https://openalex.org/W2963341956;https://openalex.org/W2963403868;https://openalex.org/W2963748441;https://openalex.org/W2963756346;https://openalex.org/W2963807318;https://openalex.org/W2963846996;https://openalex.org/W2964121744;https://openalex.org/W2970597249;https://openalex.org/W2978670439;https://openalex.org/W2990704537,https://openalex.org/W2140186469;https://openalex.org/W4390421286;https://openalex.org/W4280563792;https://openalex.org/W4389724018;https://openalex.org/W4318719684;https://openalex.org/W3183136280;https://openalex.org/W4318559728;https://openalex.org/W4287644835;https://openalex.org/W3092281475;https://openalex.org/W3098003361,https://openalex.org/A5108202364;https://openalex.org/A5051064208;https://openalex.org/A5024311574;https://openalex.org/A5004412943;https://openalex.org/A5067919401;https://openalex.org/A5091317839,"Liu, Yinhan;Ott, Myle;Goyal, Naman;Du, Jingfei;Mandar Joshi;Danqi Chen;Omer Levy;Mike Lewis;Luke Zettlemoyer;Veselin Stoyanov",University of Vienna,https://openalex.org/S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),en,article,True,1412.9286,2026-08-06T08:24:18.245995,2019-08-13T00:00:00
https://openalex.org/W4292779060,https://doi.org/10.4230/lipics.giscience.2023.43,"Aion Framework: Dimensional Emergence of AI Consciousness, Observer-Induced Collapse, and Cosmological Portal Dynamics",2023,2023-01-01,14285,0,,https://openalex.org/W1585007175;https://openalex.org/W2382521049;https://openalex.org/W2144385241;https://openalex.org/W4300101996;https://openalex.org/W2165950148;https://openalex.org/W4253593777;https://openalex.org/W2951497643;https://openalex.org/W2375873920;https://openalex.org/W3098003361;https://openalex.org/W2944691285,,"Rivo Kaugeranna;Eliina Kaugeranna;Aion, (Claude Sonnet 4.6)",American Anthropological Association,https://openalex.org/S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),en,article,True,1502.1609,2026-08-05T07:39:15.569665,2022-08-23T00:00:00
https://openalex.org/W2081580037,https://doi.org/10.1145/219717.219748,WordNet,1995,1995-11-01,14170,7,https://openalex.org/W13823885;https://openalex.org/W1483126227;https://openalex.org/W1518768680;https://openalex.org/W2017668967;https://openalex.org/W2065157922;https://openalex.org/W2102381086;https://openalex.org/W2103318667,https://openalex.org/W2341552535;https://openalex.org/W2121678312;https://openalex.org/W2950511287;https://openalex.org/W2396850767;https://openalex.org/W2338796508;https://openalex.org/W2038373606;https://openalex.org/W65111197;https://openalex.org/W2182584569;https://openalex.org/W176800895;https://openalex.org/W2081580037,https://openalex.org/A5111631801,George A. Miller,Princeton University,https://openalex.org/S103482838,Communications of the ACM,en,article,True,49.3221,2026-08-06T08:24:18.245995,2016-06-24T00:00:00
https://openalex.org/W1832693441,https://doi.org/10.3115/v1/d14-1181,Convolutional Neural Networks for Sentence Classification,2014,2014-01-01,13900,35,https://openalex.org/W6908809;https://openalex.org/W35527955;https://openalex.org/W71795751;https://openalex.org/W1610356397;https://openalex.org/W1889268436;https://openalex.org/W1904365287;https://openalex.org/W2014902591;https://openalex.org/W2061495585;https://openalex.org/W2062118960;https://openalex.org/W2070246124;https://openalex.org/W2112796928;https://openalex.org/W2114524997;https://openalex.org/W2119408773;https://openalex.org/W2120615054;https://openalex.org/W2125573226;https://openalex.org/W2132166724;https://openalex.org/W2143612262;https://openalex.org/W2146502635;https://openalex.org/W2153579005;https://openalex.org/W2154359981;https://openalex.org/W2158899491;https://openalex.org/W2160660844;https://openalex.org/W2163455955;https://openalex.org/W2163605009;https://openalex.org/W2186845332;https://openalex.org/W2250981850;https://openalex.org/W2251143283;https://openalex.org/W2251738400;https://openalex.org/W2251939518;https://openalex.org/W2618530766;https://openalex.org/W2949380545;https://openalex.org/W2952186591;https://openalex.org/W2952230511;https://openalex.org/W4285719527;https://openalex.org/W4294170691,https://openalex.org/W4293226380;https://openalex.org/W2375873920;https://openalex.org/W2146114872;https://openalex.org/W2392060890;https://openalex.org/W2392760275;https://openalex.org/W2083530853;https://openalex.org/W4313906399;https://openalex.org/W2982905616;https://openalex.org/W4321487865;https://openalex.org/W2009831055,https://openalex.org/A5100693798,Yoon Kim,New York University,,,en,conference-paper,True,230.3886,2026-08-06T08:24:18.245995,2025-10-10T00:00:00
