paper_id,author_id,affiliation
2389674,81548707556,"New Jersey Institute of Technology, Newark, New Jersey, USA"
2389674,81100419711,"New Jersey Institute of Technology, Newark, New Jersey, USA"
2389674,81100454230,"New Jersey Institute of Technology, Newark, New Jersey, USA"
2389674,81435611712,"Halfpenny Technologies, Inc., Blue Bell, Pennsylvania, USA"
2508197,81501675901,"Institut Mines-Télécom ParisTech, Paris, France"
2508197,81350590924,"Télécom ParisTech & The University of Hong Kong, Hong Kong, Paris, France"
2390142,81501665949,"Indraprastha Institute of Information Technology, Delhi, India"
2390142,81435602395,"University of Maryland Baltimore County, baltimore, MD, USA"
2390142,81328489236,"Indraprastha Institute of Information Technology, Delhi, India"
2063784,81384599987,"Swinburne University of Technology, Melbourne, Australia"
2063784,81452598185,"Swinburne University of Technology, Melbourne, Australia"
2665997,99658647486,"Cairo University, Cairo, Egypt"
2665997,84460506657,"Cairo University, Cairo, Egypt"
2665997,81100218127,"Nile University, Cairo, Egypt"
238369,81100641340,"Computer Science Department, University of New Orleans"
238369,81392604545,"Computer Science Department, University of New Orleans"
238369,81100396643,"Naval Research Laboratory, Stennis Space Center, Mississippi"
238369,81392599129,"Computer Science Department, University of New Orleans"
238369,81392591605,"Planning Systems Incorporated"
238369,81392597551,"Planning Systems Incorporated"
238369,81392609042,"Planning Systems Incorporated"
221600,81100071850,"Dept. of Computer Studies, University of Glamorgan, Pontypridd, Mid Glamorgan, CF37 1DL, Wales, U.K."
221600,81100470490,"Dept. of Mechanical Engineering, Heriot-Watt University, Riccarton, Edinburgh, EH14 4AS, Scotland, U.K."
266913,81100071850,"Dept. of Computer Studies, University of Glamorgan, Pontypridd, Mid Glamorgan, CF37 1DL, Wales, U.K"
266913,81100559995,"Dept. of Computer Studies, University of Glamorgan, Pontypridd, Mid Glamorgan, CF37 1DL, Wales, U.K"
956890,81100360214,"University of Massachusetts, Amhurst, MA"
956890,81100215289,"University of Massachusetts, Amhurst, MA"
2398467,81482660314,"Hasso-Plattner-Institut, Potsdam, Germany"
2398467,81474670983,"Hasso-Plattner-Institut, Potsdam, Germany"
2398467,81100447576,"Hasso-Plattner-Institut, Potsdam, Germany"
2063801,81482660314,"Hasso-Plattner-Institut, Potsdam, Germany"
2063801,81100447576,"Hasso-Plattner-Institut, Potsdam, Germany"
2661884,81482660314,"Hasso Plattner Institute, Potsdam, Germany"
2661884,99658657310,"Hasso Plattner Institute, Potsdam, Germany"
2661884,81100447576,"Hasso Plattner Institute, Potsdam, Germany"
1458560,81375602198,"Leibniz University Hannover, Hannover, Germany"
1458316,81375602198,"Leibniz University Hannover, Hannover, Germany"
1458316,81100569997,"Leibniz University Hannover, Hannover, Germany"
1458316,81384590789,"Leibniz University Hannover, Hannover, Germany"
2065012,81490655935,"Siemens AG, Corporate Technology, Munich, Germany"
2065012,81479655070,"Technische Universität München, Munich, Germany"
2065012,81490670252,"Siemens AG, Corporate Technology, Munich, Germany"
956948,81100283468,"Rutgers University"
956948,81100078635,"AT&T; Labs-Research"
502638,81100580595,"Swiss Federal Institute of Technology, Lausanne, Switzerland"
502638,81100030315,"Swiss Federal Institute of Technology, Lausanne, Switzerland"
956930,81100138515,"IBM Almaden Research Center"
956930,81100509752,"University of Wisconsin - Madison, WI"
1651268,81100138515,"University of Waterloo, Waterloo, ON, Canada"
1651268,81447594450,"University of Waterloo, Waterloo, ON, Canada"
1651268,81447592484,"University of Waterloo, Waterloo, ON, Canada"
2398577,81549404556,"Philipps-Universität Marburg, Marburg, Germany"
2398577,81100511937,"Philipps-Universität Marburg, Marburg, Germany"
2398577,81100263396,"ETH Zürich, Zürich, Switzerland"
1646203,81100636007,"Drexel University, Philadelphia, PA, USA"
1646203,81452597620,"Drexel University, Philadelphia, PA, USA"
1646203,81447596847,"Drexel University, Philadelphia, PA, USA"
1871919,81375614422,"University of Missouri-Kansas City, Kansas City, MO, USA"
1871919,81100384977,"University of Missouri-Kansas City, Kansas City, MO, USA"
170411,81100197561,"School of Computer Science, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA"
170411,81100446526,"School of Computer Science, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA"
1458357,81363593075,"University of Texas Austin, Austin, TX, USA"
1458357,81100558602,"University of Texas Austin, Austin, TX, USA"
1183731,81309499133,"Ludwig-Maximilians Universität München, Munich, Germany"
1183731,81100395758,"Ludwig-Maximilians Universität München, Munich, Germany"
1183731,81332509808,"Ludwig-Maximilians Universität München, Munich, Germany"
1183731,81100007390,"Ludwig-Maximilians Universität München, Munich, Germany"
1183731,81309509002,"Ludwig-Maximilians Universität München, Munich, Germany"
1183731,81343503720,"Ludwig-Maximilians Universität München, Munich, Germany"
584905,81309500561,"IBM India Research Laboratory, New Delhi, India"
584905,81100636325,"IBM India Research Laboratory, New Delhi, India"
584905,81100531647,"IBM India Research Laboratory, New Delhi, India"
584905,81100456905,"IBM India Research Laboratory, New Delhi, India"
584905,81100553509,"IBM India Research Laboratory, New Delhi, India"
584905,81430619919,"IBM India Research Laboratory, New Delhi, India"
584905,81100062183,"IBM India Research Laboratory, New Delhi, India"
956920,81100452193,"ITC-irst, Povo, Italy"
956920,81100296767,"ITC-irst, Povo, Italy"
956920,81100030721,"ITC-irst, Povo, Italy"
323231,81100589033,"Xerox Palo Alto Research Center, Palo Alto, CA"
323231,81100337812,"MIT Laboratory for Computer Science, Cambridge, MA"
323231,81100214014,"MIT Laboratory for Computer Science and Artificial Intelligence Laboratory, Cambridge, MA"
352322,81100191640,"Stanford Univ., Palo Alto, CA"
352322,81100308969,"Stanford Univ., Palo Alto, CA"
1099565,81309486613,"University of Patras, Rion-Patras, Greece"
1099565,81100489302,"University of Patras, Rion-Patras, Greece"
1099605,81100264320,"NTUA, Athens, Greece"
1099605,81340490854,"NTUA, Athens, Greece"
1099605,81375609220,"UC Irvine, CA"
2514690,81100632698,"LinkedIn, Mountain View, CA, USA"
2396850,81100632698,"LinkedIn, Mountain View, USA"
2396850,81100108059,"LinkedIn, Mountain View, CA, USA"
2396850,81384609599,"Facebook, Menlo Park, CA, USA"
2505635,82659093257,"Stanford University, Stanford, CA, USA"
2505635,81100619087,"Stanford University, Stanford, CA, USA"
1646260,81100632698,"Yahoo! Research, Santa Clara, CA, USA"
1646260,81100099117,"Yahoo! Research, Santa Clara, CA, USA"
1646260,81542333356,"Carnegie Mellon University, Pittsburgh, PA, USA"
1646260,81100209419,"Yahoo! Research, Santa Clara, CA, USA"
1646260,81367595085,"Yahoo! Research, Santa Clara, CA, USA"
1646283,81447597709,"Yahoo! Labs, Bangalore, India"
1646283,81367598733,"Yahoo! Labs, Bangalore, India"
1646283,81323492908,"Yahoo! Labs, Bangalore, India"
1646283,81100374405,"Yahoo! Labs, Bangalore, India"
1646283,81100629915,"Yahoo! Labs, Bangalore, India"
1646283,81447600772,"Yahoo! Labs, Bangalore, India"
1646283,81447602879,"Yahoo! Inc., Bangalore, India"
1646283,81447599149,"Yahoo! Inc., Bangalore, India"
1646283,81100319820,"Yahoo! Inc., Sunnyvale, CA, USA"
2396867,81448597117,"University of Maryland, College Park, MD, USA"
2396867,81339523170,"IBM T. J. Watson Research Center, Yorktown Heights, NY, USA"
2396867,81361592350,"University of Minnesota, Minneapolis, MN, USA"
2396867,81100590712,"IBM T. J. Watson Research Center, Yorktown Heights, NY, USA"
2396867,81100574279,"IBM T. J. Watson Research Center, Yorktown Heights, NY, USA"
2396867,81100462360,"IBM T. J. Watson Research Center, Yorktown Heights, NY, USA"
2396867,81100488710,"IBM T. J. Watson Research Center, Yorktown Heights, NY, USA"
1458574,81384620958,"University of Sheffield, Sheffield, United Kngdm"
1458574,81384620351,"University of Sheffield, Sheffield, United Kngdm"
1458574,81100458673,"University of Sheffield, Sheffield, United Kngdm"
1458574,81100562809,"University of Sheffield, Sheffield, United Kngdm"
1458574,81384621527,"University of Sheffield, Sheffield, United Kngdm"
1458574,81100484930,"University of Sheffield, Sheffield, United Kngdm"
1458574,81100585542,"University of Sheffield, Sheffield, United Kngdm"
1458574,81100013036,"University of Sheffield, Sheffield, United Kngdm"
288644,81350594201,"T.J. Watson Research Center, Yorktown Heights, NY"
288644,81100446758,"Duke University, Durham, NC"
288644,81350576309,"T.J. Watson Research Center, Yorktown Heights, NY"
266904,81350594201,"IBM T.J. Watson Research Center, Yorktown Heights, NY"
266904,81350576309,"IBM T.J. Watson Research Center, Yorktown Heights, NY"
