dblp_key,crossref,doi,paper_id,cite_count,pages,conf_id,funding
conf/cikm/0001HPE12,conf/cikm/2012mixhs,http://doi.acm.org/10.1145/2389672.2389674,2389674,1,6,2389672,NULL
conf/cikm/0002S13,conf/cikm/2013,http://doi.acm.org/10.1145/2505515.2508197,2508197,0,4,2505515,NULL
conf/cikm/0003JK12,conf/cikm/2012dubmmsm,http://doi.acm.org/10.1145/2390131.2390142,2390142,1,4,2390131,NULL
conf/cikm/0003L11,conf/cikm/2011,http://doi.acm.org/10.1145/2063576.2063784,2063784,2,10,2063576,NULL
conf/cikm/Abd-AllahSE14,conf/cikm/2014dubmod,http://doi.acm.org/10.1145/2665994.2665997,2665997,0,2,2665994,NULL
conf/cikm/AbdelguerfiCWSMBR96,conf/cikm/96,http://doi.acm.org/10.1145/238355.238369,238369,0,7,238355,NULL
conf/cikm/AbdelmotyE95,conf/cikm/95,http://doi.acm.org/10.1145/221270.221600,221600,8,6,221270,NULL
conf/cikm/AbdelmotyJ97,conf/cikm/97,http://doi.acm.org/10.1145/266714.266913,266913,10,8,266714,NULL
conf/cikm/AbdulJaleelL03,conf/cikm/2003,http://doi.acm.org/10.1145/956863.956890,956890,42,8,956863,NULL
conf/cikm/AbedjanLN12,conf/cikm/2012,http://doi.acm.org/10.1145/2396761.2398467,2398467,3,5,2396761,NULL
conf/cikm/AbedjanN11,conf/cikm/2011,http://doi.acm.org/10.1145/2063576.2063801,2063801,5,6,2063576,NULL
conf/cikm/AbedjanSN14,conf/cikm/2014,http://doi.acm.org/10.1145/2661829.2661884,2661884,4,10,2661829,NULL
conf/cikm/Abel08,conf/cikm/2008pikm,http://doi.acm.org/10.1145/1458550.1458560,1458560,2,8,1458550,NULL
conf/cikm/AbeleKH11,conf/cikm/2011pikm,http://doi.acm.org/10.1145/2065003.2065012,2065012,2,8,2065003,NULL
conf/cikm/AbelHK08,conf/cikm/2008,http://doi.acm.org/10.1145/1458082.1458316,1458316,7,2,1458082,NULL
conf/cikm/AbelloK03,conf/cikm/2003,http://doi.acm.org/10.1145/956863.956948,956948,1,8,956863,NULL
conf/cikm/AbererD01,conf/cikm/2001,http://doi.acm.org/10.1145/502585.502638,502638,234,8,502585,NULL
conf/cikm/AboulnagaN03,conf/cikm/2003,http://doi.acm.org/10.1145/956863.956930,956930,1,8,956863,NULL
conf/cikm/AboulnagaWZ09,conf/cikm/2009clouddb,http://doi.acm.org/10.1145/1651263.1651268,1651268,6,4,1651263,NULL
conf/cikm/AchakeevSW12,conf/cikm/2012,http://doi.acm.org/10.1145/2396761.2398577,2398577,3,5,2396761,NULL
conf/cikm/AchananuparpYC09,conf/cikm/2009,http://doi.acm.org/10.1145/1645953.1646203,1646203,2,4,1645953,NULL
