conf_id,author_id,affiliation
2389672,81548012094,"Mayo Clinic, Division of Biomedical Statistics & Informatics, College of Medicine, Rochester, Minnesota, U.S.A"
2389672,81375605084,"The University of Glasgow Institute of Health & Well Being College of Medical, Veterinary & Life Sciences, Scotland, U.K."
2505515,81100488409,"L3S Research Center, Germany"
2505515,81553957156,"Simon Fraser University, Canada"
2505515,84358629757,"Amazon, India"
2390131,81319496986,"IBM Research -- Almaden"
2390131,81100230567,"Texas A&M University"
2390131,81100204766,"IBM Research -- Almaden"
2390131,81548023290,"University of California, Santa Barbara"
2390131,81548222456,"IBM Research -- Almaden"
2665994,81319496986,"IBM Research - Almaden, USA"
2665994,81100230567,"Texas A&M University, USA"
2665994,81100204766,"Google, USA"
2665994,81548023290,"University of California, Santa Barbara, USA"
2665994,81548222456,"IBM Research - Almaden, USA"
2665994,81548547156,"Chinese Academy of Sciences, China"
2665994,81496684139,"Zhejiang University, China"
956863,81100268938,"Illinois Institute of Technology"
956863,81100428013,"University of Florida"
956863,81100056146,"University of Nebraska, Omaha"
956863,81100134791,"The MITRE Corporation"
2396761,81100415296,"Georgia Institute of Technology"
2396761,81548148756,"Microsoft Research Asia"
2396761,81548153756,"Rensselaer Polytechnic Institute"
2661829,81100428642,"Technical University of Crete, Greece"
2661829,81100612930,"National Institute of Standards, USA"
2661829,81508690412,"New York University, USA"
2661829,81555605956,"Google Research, USA"
1458550,81100653183,"Aster Data Systems, USA"
1458550,81100188513,"Montclair State University, USA"
1458082,81100419641,"Yahoo! Research, USA"
1458082,81100402995,"INRIA, France"
1458082,81387603248,"University of California, Santa Cruz, USA"
1458082,88058606957,"JustSystems Evans Research, USA"
1458082,81387601934,"Microsoft Live Labs, USA"
1458082,81100479622,"KAIST, Korea"
1458082,81387604615,"Twitter, USA"
2065003,81100320230,"Sybase, An SAP Company, Canada"
2065003,81317490234,"INRIA, France"
1651263,81455605782,"IBM T. J. Watson Research, USA"
1651263,81408598395,"IBM China Research Lab, China"
1645953,81451597041,"UCLA, USA"
1645953,81100254535,"Drexel University, USA"
1645953,81471640432,"University of Maryland, USA"
1183614,81100377324,"University of California-Riverside (USA)"
1183614,81339500009,"Virginia Tech (USA)"
1183614,81414615435,"University of Illinois at Chicago (USA)"
584792,81100478086,"Illinois Institute of Technology"
584792,81100084066,"University of Maryland Baltimore County"
584792,81100056146,"Erasmus University, Rotterdam"
584792,81100497963,"Erasmus University, Rotterdam"
584792,81100134791,"The MITRE Corporation"
1099554,81100149904,"University for Health Sciences, Medical Informatics and Technology, Austria"
1099554,81100362356,"University of Duisburg-Essen, Germany"
1099554,81544088556,"America Online, USA"
1099554,81100525410,"IBM T.J. Watson Research Center, USA"
1031171,81100495046,"Columbia University"
1031171,81100540023,"University of Illinois at Urbana-Champaign"
1031171,81100422995,"University of Bremen, Germany"
1031171,88058606957,"Clairvoyance Corporation"
1458449,81336493029,"New Jersey Institute of Technology, USA"
1458449,81384594771,"KAIST, Korea"
1458449,81384591006,"University of Kansas, USA"
1460027,81336490655,"Technological Educational Institute of Mesolongli, Greece"
1460027,81100273027,"University of Washington, USA"
